"hanzi_sc","hanzi_trad","pinyin","pinyin_style2","level","level_zh","cc_cedict_definitions"
"京","京","jīng","jing1","2","Level 2","capital city of a country/big/algebraic term for a large number (old)/artificial mound (old)"
"页","頁","yè","ye4","2","Level 2","page/leaf"
"贵","貴","guì","gui4","2","Level 2","expensive/noble/precious/(honorific) your"
"面","面麵","miàn","mian4","2","Level 2","flour/noodles/(of food) soft (not crunchy)/(slang) (of a person) ineffectual/spineless"
"哥","哥","gē","ge1","2","Level 2","elder brother"
"茶","茶","chá","cha2","2","Level 2","tea/tea plant"
"慢","慢","màn","man4","2","Level 2","slow"
"星","星","xīng","xing1","2","Level 2","star/heavenly body/satellite/small amount"
"期","期","qī","qi1","2","Level 2","a period of time/phase/stage/classifier for issues of a periodical, courses of study/time/term/period/to hope/Taiwan pr. [qi2]"
"妹","妹","mèi","mei4","2","Level 2","younger sister"
"火","火","huǒ","huo3","2","Level 2","fire/urgent/ammunition/fiery or flaming/internal heat (Chinese medicine)/hot (popular)/classifier for military units (old)/Kangxi radical 86"
"净","淨","jìng","jing4","2","Level 2","clean/completely/only/net (income, exports etc)/(Chinese opera) painted face male role"
"奶","奶嬭","nǎi","nai3","2","Level 2","breast/milk/mother"
"饿","餓","è","e4","2","Level 2","to be hungry/hungry/to starve (sb)"
"果","果","guǒ","guo3","2","Level 2","result/fruit"
"图","圖","tú","tu2","2","Level 2","diagram/picture/drawing/chart/map/to plan/to scheme/to attempt/to pursue/to seek"
"店","店","diàn","dian4","2","Level 2","inn; old-style hotel/(bound form) shop; store"
"爷","爺","yé","ye2","2","Level 2","grandpa/old gentleman"
"牛","牛","niú","niu2","2","Level 2","ox/cow/bull/(slang) awesome"
"商","商","shāng","shang1","2","Level 2","commerce/merchant/dealer/to consult/2nd note in pentatonic scale/quotient"
"馆","館","guǎn","guan3","2","Level 2","building/shop/term for certain service establishments/embassy or consulate/schoolroom (old)/CL:家[jia1]"
"文","文","wén","wen2","2","Level 2","language/culture/writing/formal/literary/gentle/(old) classifier for coins/Kangxi radical 67"
"鸡","雞","jī","ji1","2","Level 2","fowl/chicken/(slang) prostitute"
"蛋","蛋","dàn","dan4","2","Level 2","egg"
"玩","玩","wán","wan2","2","Level 2","play/tease/dabble in"
"系","系繫係","xì","xi4","2","Level 2","to connect/to arrest/to worry"
"假","假","jiǎ","jia3","2","Level 2","to disguise/to fake/false/deception/to borrow"
"语","語","yǔ","yu3","2","Level 2","to tell to"
"汉","漢","hàn","han4","2","Level 2","man"
"客","客","kè","ke4","2","Level 2","customer/visitor/guest"
"渴","渴","kě","ke3","2","Level 2","thirsty"
"米","米","mǐ","mi3","2","Level 2","rice"
"条","條","tiáo","tiao2","2","Level 2","strip/item/article/clause (of law or treaty)/classifier for long thin things (ribbon, river, road, trousers etc)"
"自","自","zì","zi4","2","Level 2","(bound form) self; oneself/from; since/naturally; as a matter of course"
"己","己","jǐ","ji3","2","Level 2","self/oneself/sixth of the ten Heavenly Stems/sixth in order/letter ""F"" or Roman ""VI"" in list ""A, B, C"", or ""I, II, III"" etc/hexa"
"但","但","dàn","dan4","2","Level 2","but; yet; however; still/merely; only; just"
"可","可","kě","ke3","2","Level 2","can; may/to approve/to fit"
"以","以","yǐ","yi3","2","Level 2","to use/by means of/according to/in order to/because of/at (a certain date or place)"
"让","讓","ràng","rang4","2","Level 2","to yield/to permit/to let sb do sth/to have sb do sth/to make sb (feel sad etc)/by (indicates the agent in a passive clause, like 被[bei4])"
"又","又","yòu","you4","2","Level 2","(once) again/also/both... and.../and yet/(used for emphasis) anyway"
"已","已","yǐ","yi3","2","Level 2","already/to stop/then/afterwards"
"经","經","jīng","jing1","2","Level 2","classics/sacred book/scripture/to pass through/to undergo/to bear/to endure/warp (textile)/longitude/menstruation/channel (TCM)/abbr. for economics 經濟|经济[jing1 ji4]"
"因","因","yīn","yin1","2","Level 2","cause/reason/because"
"题","題","tí","ti2","2","Level 2","topic/problem for discussion/exam question/subject/to inscribe/to mention"
"如","如","rú","ru2","2","Level 2","as/as if/such as"
"更","更","gèng","geng4","2","Level 2","more/even more/further/still/still more"
"它","它","tā","ta1","2","Level 2","it"
"只","隻秖只","zhǐ","zhi3","2","Level 2","classifier for birds and certain animals, one of a pair, some utensils, vessels etc"
"向","嚮向","xiàng","xiang4","3","Level 3","direction/orientation/to face/to turn toward/to/towards/shortly before/formerly"
"该","該","gāi","gai1","3","Level 3","should/ought to/probably/must be/to deserve/to owe/to be sb's turn to do sth/that/the above-mentioned"
"位","位","wèi","wei4","3","Level 3","position/location/place/seat/classifier for people (honorific)/classifier for binary bits/(physics) potential"
"才","纔才","cái","cai2","3","Level 3","ability; gift/just now"
"当","噹當","dāng","dang1","3","Level 3","at or in the very same.../suitable/adequate/fitting/proper/to replace/to regard as/to think/to pawn/(coll.) to fail (a student)"
"所","所","suǒ","suo3","3","Level 3","actually/place/classifier for houses, small buildings, institutions etc/that which/particle introducing a relative clause or passive"
"公","公","gōng","gong1","3","Level 3","public/collectively owned/common/international (e.g. high seas, metric system, calendar)/make public/fair/just/Duke, highest of five orders of nobility/honorable (gentlemen)/father-in-law/male (animal)"
"司","司","sī","si1","3","Level 3","to take charge of/to manage/department (under a ministry)"
"万","萬","wàn","wan4","3","Level 3","ten thousand/a great number"
"像","像","xiàng","xiang4","3","Level 3","to resemble/to be like/to look as if/such as/appearance/image/portrait/image under a mapping (math.)"
"活","活","huó","huo2","3","Level 3","to live/alive/living/work/workmanship"
"发","髮發","fā","fa1","3","Level 3","hair"
"应","應","yīng","ying1","3","Level 3","to answer/to respond/to comply with/to deal or cope with"
"成","成","chéng","cheng2","3","Level 3","to succeed/to finish/to complete/to accomplish/to become/to turn into/to be all right/OK!/one tenth"
"直","直","zhí","zhi2","3","Level 3","straight/to straighten/fair and reasonable/frank/straightforward/(indicates continuing motion or action)/vertical/vertical downward stroke in Chinese characters"
"定","定","dìng","ding4","3","Level 3","to fix; to set; to make definite/to subscribe to (a newspaper etc); to book (tickets etc); to order (goods etc)/to congeal; to coagulate/(literary) definitely"
"带","帶","dài","dai4","3","Level 3","band/belt/girdle/ribbon/tire/area/zone/region/to wear/to carry/to take along/to bear (i.e. to have)/to lead/to bring/to look after/to raise"
"或","或","huò","huo4","3","Level 3","maybe/perhaps/might/possibly/or"
"长","長","zhǎng","zhang3","3","Level 3","chief/head/elder/to grow/to develop/to increase/to enhance"
"而","而","ér","er2","3","Level 3","and/as well as/and so/but (not)/yet (not)/(indicates causal relation)/(indicates change of state)/(indicates contrast)"
"且","且","qiě","qie3","3","Level 3","and/moreover/yet/for the time being/to be about to/both (... and...)"
"其","其","qí","qi2","3","Level 3","his/her/its/their/that/such/it (refers to sth preceding it)"
"通","通","tōng","tong1","3","Level 3","classifier for an activity, taken in its entirety (tirade of abuse, stint of music playing, bout of drinking etc)"
"必","必","bì","bi4","3","Level 3","certainly/must/will/necessarily"
"须","鬚須","xū","xu1","3","Level 3","beard/mustache/feeler (of an insect etc)/tassel"
"求","求","qiú","qiu2","3","Level 3","to seek/to look for/to request/to demand/to beseech"
"虽","雖","suī","sui1","3","Level 3","although/even though"
"然","然","rán","ran2","3","Level 3","correct/right/so/thus/like this/-ly"
"啊","啊","a","a","3","Level 3","modal particle ending sentence, showing affirmation, approval, or consent"
"加","加","jiā","jia1","3","Level 3","to add/plus/to apply (restrictions etc) to (sb)/to give (support, consideration etc) to (sth)"
"件","件","jiàn","jian4","3","Level 3","item/component/classifier for events, things, clothes etc"
"情","情","qíng","qing2","3","Level 3","(bound form) feelings; emotion; sentiment; passion/(bound form) situation; condition"
"结","結","jié","jie2","3","Level 3","knot/sturdy/bond/to tie/to bind/to check out (of a hotel)"
"感","感","gǎn","gan3","3","Level 3","to feel/to move/to touch/to affect/feeling/emotion/(suffix) sense of ~"
"头","頭","tóu","tou2","3","Level 3","suffix for nouns"
"者","者","zhě","zhe3","3","Level 3","(after a verb or adjective) one who (is) .../(after a noun) person involved in .../-er/-ist/(used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously)/(used after a term, to mark a pause before defining the term)/(old) (used at the end of a command)/(old) this"
"全","全","quán","quan2","3","Level 3","all/whole/entire/every/complete"
"入","入","rù","ru4","3","Level 3","to enter/to go into/to join/to become a member of/to confirm or agree with"
"安","安","ān","an1","3","Level 3","(bound form) calm; peaceful/to calm; to set at ease/safe; secure; in good health/content; satisfied/to place (sb) in a suitable position (job)/to install; to fix; to fit/to bring (a charge against sb)/to harbor (certain intentions)/ampere"
"够","夠","gòu","gou4","3","Level 3","enough (sufficient)/enough (too much)/(coll.) (before adj.) really/(coll.) to reach by stretching out"
"信","信","xìn","xin4","3","Level 3","letter/mail/to trust/to believe/to profess faith in/truthful/confidence/trust/at will/at random"
"完","完","wán","wan2","3","Level 3","to finish/to be over/whole/complete/entire"
"响","響","xiǎng","xiang3","3","Level 3","echo/sound/noise/to make a sound/to sound/to ring/loud/classifier for noises"
"原","原","yuán","yuan2","3","Level 3","former/original/primary/raw/level/cause/source"
"计","計","jì","ji4","3","Level 3","to calculate/to compute/to count/to regard as important/to plan/ruse/meter/gauge"
"划","劃划","huà","hua4","3","Level 3","to delimit/to transfer/to assign/to plan/to draw (a line)/stroke of a Chinese character"
"使","使","shǐ","shi3","3","Level 3","to make/to cause/to enable/to use/to employ/to send/to instruct sb to do sth/envoy/messenger"
"接","接","jiē","jie1","3","Level 3","to receive/to answer (the phone)/to meet or welcome sb/to connect/to catch/to join/to extend/to take one's turn on duty/to take over for sb"
"受","受","shòu","shou4","3","Level 3","to receive/to accept/to suffer/subjected to/to bear/to stand/pleasant/(passive marker)"
"拉","拉","lā","la1","3","Level 3","to pull/to play (a bowed instrument)/to drag/to draw/to chat/(coll.) to empty one's bowels"
"周","周週","zhōu","zhou1","3","Level 3","week/weekly/variant of 周[zhou1]"
"特","特","tè","te4","3","Level 3","special/unique/distinguished/especially/unusual/very"
"部","部","bù","bu4","3","Level 3","ministry/department/section/part/division/troops/board/classifier for works of literature, films, machines etc"
"短","短","duǎn","duan3","3","Level 3","short/brief/to lack/weak point/fault"
"务","務","wù","wu4","3","Level 3","affair/business/matter/to be engaged in/to attend to/by all means"
"片","片","piàn","pian4","3","Level 3","thin piece/flake/a slice/film/TV play/to slice/to carve thin/partial/incomplete/one-sided/classifier for slices, tablets, tract of land, area of water/classifier for CDs, movies, DVDs etc/used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc/Kangxi radical 91"
"钟","鐘鍾","zhōng","zhong1","3","Level 3","clock/o'clock/time as measured in hours and minutes/bell"
"表","表錶","biǎo","biao3","3","Level 3","watch (timepiece)/meter; gauge"
"示","示","shì","shi4","3","Level 3","to show/to reveal"
"卡","卡","kǎ","ka3","3","Level 3","to block/to be stuck/to be wedged/customs station/a clip/a fastener/a checkpost/Taiwan pr. [ka3]"
"刚","剛","gāng","gang1","3","Level 3","hard/firm/strong/just/barely/exactly"
"讲","講","jiǎng","jiang3","3","Level 3","to speak/to explain/to negotiate/to emphasize/to be particular about/as far as sth is concerned/speech/lecture"
"相","相","xiāng","xiang1","3","Level 3","appearance/portrait/picture/government minister/(physics) phase/(literary) to appraise (esp. by scrutinizing physical features)/to read sb's fortune (by physiognomy, palmistry etc)"
"助","助","zhù","zhu4","3","Level 3","to help/to assist"
"努","努","nǔ","nu3","3","Level 3","to exert/to strive"
"力","力","lì","li4","3","Level 3","power/force/strength/ability/strenuously"
"心","心","xīn","xin1","3","Level 3","heart/mind/intention/center/core"
"越","越","yuè","yue4","3","Level 3","to exceed/to climb over/to surpass/the more... the more"
"主","主","zhǔ","zhu3","3","Level 3","owner/master/host/individual or party concerned/God/Lord/main/to indicate or signify/trump card (in card games)"
"千","千","qiān","qian1","3","Level 3","thousand"
"段","段","duàn","duan4","3","Level 3","paragraph/section/segment/stage (of a process)/classifier for stories, periods of time, lengths of thread etc"
"组","組","zǔ","zu3","3","Level 3","to form/to organize/group/team/classifier for sets, series, groups of people, batteries"
"卖","賣","mài","mai4","3","Level 3","to sell/to betray/to spare no effort/to show off or flaunt"
